player_id,player_name,age,position_group,league_name,tier,value_at_as_of,minutes_played,performance_score,trajectory_score,availability_score,composite_score,confidence,has_xg,value_after,value_after_date,last_valuation,dropped_out,value_growth,value_delta_eur,doubled,horizon_end,value_bucket
430488,Edgar Sevikyan,22.39835728952772,Attack,Russian Premier Liga,2,1800000,1165.0,27.0,90.1,2.6,44.2,medium,False,1800000,2025-12-16,2026-05-26,False,0.0,0,False,2026-01-01,1-2M
547039,Isaak Davies,22.26694045174538,Attack,Pro League,2,800000,1742.0,46.2,66.6,0.6,44.2,medium,False,1300000,2025-11-26,2026-05-12,False,0.625,500000,False,2026-01-01,0.5-1M
608889,Mathijs Tielemans,21.683778234086244,Midfield,Eredivisie,2,1200000,1677.0,35.1,79.4,2.6,44.1,medium,False,500000,2025-12-02,2026-05-28,False,-0.5833333333333333,-700000,False,2026-01-01,1-2M
658534,Lasso Coulibaly,21.201916495550993,Attack,Danish Superliga,3,900000,1370.0,26.4,90.7,2.6,44.1,medium,False,900000,2025-12-15,2026-06-01,False,0.0,0,False,2026-01-01,0.5-1M
551007,Eli King,21.023956194387406,Midfield,Scottish Premiership,3,300000,754.0,21.0,57.8,70.6,43.8,medium,False,300000,2024-05-30,2024-05-30,False,0.0,0,False,2026-01-01,<0.5M
840149,Matija Frigan,20.8870636550308,Attack,Pro League,2,4000000,1006.0,40.1,73.2,0.1,43.7,medium,False,7500000,2025-12-23,2026-05-29,False,0.875,3500000,False,2026-01-01,2-4M
1163778,Kahveh Zahiroleslam,21.5523613963039,Attack,Pro League,2,400000,1264.0,41.1,65.4,10.7,43.5,medium,False,600000,2025-12-08,2026-06-04,False,0.5,200000,False,2026-01-01,<0.5M
651269,Armin Gigovic,21.738535249828885,Midfield,Danish Superliga,3,2000000,1131.0,42.5,69.0,0.6,43.4,medium,False,2500000,2025-12-29,2026-06-02,False,0.25,500000,False,2026-01-01,1-2M
1099726,Papa Amadou Diallo,19.51813826146475,Attack,Ligue 1,1,250000,890.0,31.4,63.7,34.9,43.4,medium,False,1000000,2024-06-03,2024-06-03,False,3.0,750000,True,2026-01-01,<0.5M
671675,Chris Lokesa,19.148528405201915,Attack,Eredivisie,2,450000,2073.0,24.1,91.2,2.6,43.3,medium,False,375000,2025-12-16,2025-12-16,False,-0.16666666666666663,-75000,False,2026-01-01,<0.5M
858719,Telasco Segovia,20.750171115674195,Midfield,Liga Portugal,2,400000,746.0,26.6,89.1,0.3,43.2,medium,False,4500000,2025-12-11,2026-06-02,False,10.25,4100000,True,2026-01-01,<0.5M
607164,Enzo Cornelisse,21.508555783709788,Midfield,Eredivisie,2,500000,1525.0,11.5,67.8,70.6,43.0,medium,False,375000,2024-05-31,2024-05-31,False,-0.25,-125000,False,2026-01-01,<0.5M
747243,Gyan de Regt,20.372347707049965,Attack,Eredivisie,2,400000,1182.0,15.2,97.0,10.7,42.9,medium,False,650000,2025-12-02,2026-05-28,False,0.625,250000,False,2026-01-01,<0.5M
659521,Edouard Michut,20.829568788501028,Midfield,Super Lig,2,2400000,1732.0,34.1,71.9,10.7,42.7,medium,False,1500000,2025-12-02,2026-05-28,False,-0.375,-900000,False,2026-01-01,2-4M
